Run_ID,C,Cost,A,Speciation_Score,Classic_Score,Image_Link
3,0.5,0.0,0.1,1.2038888888888888,1.2744444444444443,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.00\HM_C_0.50_final.png"", ""View Heatmap"")"
1,0.0,0.0,0.1,1.201111111111111,1.2705555555555554,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.00\HM_C_0.00_final.png"", ""View Heatmap"")"
5,1.0,0.0,0.1,1.2005555555555556,1.2705555555555557,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.00\HM_C_1.00_final.png"", ""View Heatmap"")"
2,0.25,0.0,0.1,1.198888888888889,1.2650000000000001,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.00\HM_C_0.25_final.png"", ""View Heatmap"")"
4,0.75,0.0,0.1,1.1983333333333335,1.2666666666666668,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.00\HM_C_0.75_final.png"", ""View Heatmap"")"
7,0.25,0.25,0.1,1.3355555555555556,1.441111111111111,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.25\HM_C_0.25_final.png"", ""View Heatmap"")"
6,0.0,0.25,0.1,1.3366666666666667,1.4433333333333334,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.25\HM_C_0.00_final.png"", ""View Heatmap"")"
8,0.5,0.25,0.1,1.336111111111111,1.436111111111111,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.25\HM_C_0.50_final.png"", ""View Heatmap"")"
9,0.75,0.25,0.1,1.3211111111111111,1.4077777777777778,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.25\HM_C_0.75_final.png"", ""View Heatmap"")"
10,1.0,0.25,0.1,1.2544444444444443,1.3266666666666667,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.25\HM_C_1.00_final.png"", ""View Heatmap"")"
11,0.0,0.5,0.1,1.3672222222222221,1.4822222222222219,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.50\HM_C_0.00_final.png"", ""View Heatmap"")"
12,0.25,0.5,0.1,1.3783333333333334,1.4983333333333329,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.50\HM_C_0.25_final.png"", ""View Heatmap"")"
13,0.5,0.5,0.1,1.3877777777777778,1.5022222222222223,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.50\HM_C_0.50_final.png"", ""View Heatmap"")"
14,0.75,0.5,0.1,1.4038888888888887,1.5116666666666665,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.50\HM_C_0.75_final.png"", ""View Heatmap"")"
15,1.0,0.5,0.1,1.2466666666666664,1.321111111111111,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.50\HM_C_1.00_final.png"", ""View Heatmap"")"
16,0.0,0.75,0.1,1.3933333333333333,1.5155555555555553,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.75\HM_C_0.00_final.png"", ""View Heatmap"")"
17,0.25,0.75,0.1,1.4216666666666666,1.5461111111111112,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.75\HM_C_0.25_final.png"", ""View Heatmap"")"
19,0.75,0.75,0.1,1.4811111111111106,1.603888888888889,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.75\HM_C_0.75_final.png"", ""View Heatmap"")"
18,0.5,0.75,0.1,1.4466666666666665,1.5694444444444444,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.75\HM_C_0.50_final.png"", ""View Heatmap"")"
20,1.0,0.75,0.1,1.2138888888888888,1.293333333333333,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_0.75\HM_C_1.00_final.png"", ""View Heatmap"")"
21,0.0,1.0,0.1,1.4138888888888888,1.5644444444444445,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.00\HM_C_0.00_final.png"", ""View Heatmap"")"
22,0.25,1.0,0.1,1.4444444444444444,1.582222222222222,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.00\HM_C_0.25_final.png"", ""View Heatmap"")"
23,0.5,1.0,0.1,1.4705555555555554,1.5977777777777775,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.00\HM_C_0.50_final.png"", ""View Heatmap"")"
24,0.75,1.0,0.1,1.5294444444444446,1.65,"=HYPERLINK(""c:\Heatmap Final\Sweep_Results_final\A_0.10\Cost_1.00\HM_C_0.75_final.png"", ""View Heatmap"")"
